open,high,low,close
1.09605,1.09672,1.0938,1.09422
1.09422,1.09585,1.09295,1.09433
1.09435,1.09638,1.0914,1.09183
1.09183,1.09392,1.08741,1.08789
1.08788,1.08993,1.0836,1.08408
1.08407,1.08654,1.08198,1.0855
1.08544,1.0864,1.08323,1.08414
1.08412,1.08546,1.08358,1.08428
1.08424,1.08504,1.07859,1.07976
1.07974,1.08149,1.07739,1.07759
1.07757,1.08084,1.07716,1.07861
1.07867,1.08274,1.07808,1.08063
1.08077,1.08225,1.0798,1.08134
1.08134,1.08227,1.08048,1.08137
1.08136,1.08344,1.07821,1.07919
1.07922,1.08171,1.07785,1.0791
1.0791,1.08168,1.07671,1.0801
1.0801,1.0805,1.07817,1.07913
1.07913,1.08013,1.07827,1.07929
1.07928,1.08293,1.07899,1.08254
1.08254,1.0878,1.082,1.08675
1.08674,1.09166,1.08565,1.09046
1.09046,1.09256,1.08755,1.08959
1.08961,1.09146,1.08937,1.08961
1.0895,1.0907,1.08718,1.08725
1.08727,1.0884,1.08635,1.08722
1.08717,1.08924,1.08343,1.08537
1.08542,1.08844,1.08542,1.08726
1.08725,1.08879,1.08501,1.08629
1.0863,1.08722,1.08494,1.08551
1.08539,1.08797,1.08508,1.08713
1.0871,1.08766,1.08528,1.08646
1.08645,1.08813,1.08399,1.08684
1.08683,1.09091,1.08486,1.09035
1.09037,1.09448,1.08941,1.09353
1.09353,1.09515,1.09194,1.09282
1.09283,1.09354,1.09177,1.0922
1.0922,1.09438,1.092,1.09381
1.09372,1.09512,1.09262,1.09415
1.09414,1.09475,1.09352,1.09422
1.09421,1.09516,1.09408,1.09478
1.09478,1.09479,1.09291,1.09311
1.09487,1.09487,1.09279,1.09295
1.09293,1.09417,1.09243,1.0936
1.0936,1.09675,1.09263,1.09304
1.09304,1.09381,1.09022,1.09216
1.09217,1.09226,1.08917,1.0916
1.09157,1.09232,1.0903,1.09086
1.09055,1.0927,1.0901,1.09224
1.09222,1.09483,1.09158,1.09431
1.09434,1.09468,1.09141,1.09221
1.09222,1.09757,1.0919,1.09704
1.09704,1.09836,1.09542,1.09644
1.09643,1.09867,1.09634,1.09773
1.09782,1.099,1.09762,1.09858
1.09858,1.09872,1.09729,1.09747
1.09747,1.09757,1.09194,1.09315
1.09314,1.09381,1.08553,1.08595
1.08591,1.09298,1.08579,1.09159
1.09155,1.09379,1.09082,1.09082
1.0905,1.09106,1.08808,1.08853
1.08857,1.08913,1.08638,1.08781
1.08782,1.0904,1.08635,1.08869
1.08871,1.08999,1.08517,1.0889
1.0889,1.08943,1.08162,1.08333
1.08334,1.08512,1.08297,1.08385
1.08354,1.08674,1.0832,1.08626
1.08625,1.08785,1.08615,1.08709
1.08708,1.08726,1.08171,1.08289
1.08289,1.08732,1.08117,1.08645
1.08647,1.08928,1.08584,1.08664
1.08663,1.08843,1.08633,1.08706
1.08657,1.0877,1.08555,1.08596
1.08596,1.0871,1.0857,1.08698
1.087,1.08783,1.08398,1.08774
1.08769,1.08953,1.08483,1.08613
1.08614,1.08858,1.08486,1.08699
1.08697,1.08723,1.08541,1.08609
1.08582,1.08692,1.08524,1.08547
1.0855,1.08581,1.08244,1.08318
1.08315,1.08457,1.08188,1.08349
1.08357,1.08519,1.08221,1.08286
1.08286,1.08792,1.08156,1.08434
1.08434,1.08651,1.08408,1.08555
1.08547,1.08617,1.08484,1.08543
1.08544,1.08604,1.08442,1.08456
1.08458,1.08729,1.08447,1.0859
1.08589,1.08849,1.08566,1.08681
1.0868,1.08712,1.08088,1.08145
1.08145,1.08246,1.0802,1.08217
1.08212,1.08232,1.08036,1.08101
1.08101,1.08208,1.0807,1.08144
1.08145,1.08334,1.07831,1.07949
1.07951,1.07983,1.0755,1.07875
1.07875,1.08458,1.07798,1.08129
1.0813,1.08136,1.07608,1.0775
1.0775,1.07837,1.07605,1.07652
1.07651,1.07737,1.07624,1.07708
1.07705,1.07705,1.07258,1.07549
1.07552,1.08094,1.07484,1.08023
1.08022,1.08188,1.07835,1.07875
1.07875,1.08279,1.07838,1.08185
1.08205,1.08222,1.08105,1.08176
1.08176,1.08427,1.08166,1.08379
1.08381,1.08588,1.08325,1.08495
1.08494,1.08599,1.0833,1.08505
1.08505,1.0857,1.08153,1.08205
1.08204,1.08333,1.08196,1.08276
1.0827,1.08351,1.08188,1.08322
1.08321,1.08335,1.0816,1.08209
1.08209,1.08573,1.08086,1.08495
1.08494,1.08885,1.08433,1.08701
1.08701,1.08746,1.08236,1.08308
1.08309,1.0839,1.08165,1.08173
1.08176,1.08413,1.08158,1.08406
1.08407,1.08537,1.08381,1.08487
1.0849,1.08735,1.08383,1.08655
1.08655,1.08722,1.08386,1.08563
1.08563,1.08674,1.08418,1.08469
1.08469,1.08849,1.08463,1.0869
1.08717,1.08806,1.08507,1.08582
1.08582,1.0871,1.0854,1.08591
1.08594,1.0891,1.08526,1.08852
1.08849,1.08878,1.08583,1.08753
1.08755,1.09723,1.08319,1.09372
1.09371,1.09636,1.09358,1.09514
1.095,1.09554,1.09345,1.09464
1.09465,1.09493,1.09367,1.09487
1.09486,1.0979,1.09435,1.09761
1.09762,1.09896,1.09703,1.09803
1.09802,1.10177,1.09714,1.09871
1.09873,1.09884,1.09726,1.09787
1.0968,1.09737,1.09453,1.09463
1.09465,1.09543,1.09338,1.09349
1.09349,1.09478,1.09221,1.09438
1.09437,1.0944,1.09242,1.09335
1.09335,1.09366,1.08941,1.08981
1.08981,1.0908,1.08938,1.09012
1.09012,1.09117,1.08978,1.0909
1.0909,1.09145,1.08981,1.09052
1.09054,1.09243,1.08398,1.08439
1.08439,1.08551,1.0824,1.08398
1.08399,1.08856,1.08323,1.08386
1.08388,1.08561,1.08321,1.08378
1.08362,1.08457,1.08329,1.08355
1.08355,1.08405,1.08306,1.08392
1.08392,1.08394,1.07896,1.08002
1.08003,1.08178,1.07798,1.08108
1.08108,1.0825,1.07882,1.08056
1.08061,1.08114,1.07885,1.07923
1.07888,1.08008,1.07848,1.07924
1.07924,1.08029,1.07916,1.07971
1.07972,1.08144,1.07841,1.0791
1.07912,1.07995,1.07743,1.07924
1.07924,1.08167,1.07646,1.08109
1.08109,1.08323,1.08102,1.08303
1.08316,1.08482,1.08197,1.08464
1.08466,1.08535,1.08403,1.08419
1.08417,1.08448,1.08178,1.08329
1.0833,1.08505,1.08234,1.08343
1.08346,1.08741,1.08134,1.08452
1.08444,1.08518,1.08308,1.08348
1.08249,1.08444,1.08212,1.0844
1.08441,1.0849,1.08396,1.08451
1.08451,1.08459,1.08069,1.08158
1.08151,1.08281,1.08082,1.08184
1.08186,1.08422,1.08009,1.08064
1.08062,1.08155,1.07983,1.08042
1.08021,1.08089,1.07827,1.07908
1.07908,1.08071,1.07861,1.08027
1.08027,1.0826,1.07982,1.08185
1.08186,1.08633,1.08108,1.08586
1.08586,1.08846,1.08469,1.08499
1.085,1.0857,1.08454,1.08456
1.08454,1.08558,1.08435,1.08535
1.08539,1.08554,1.08425,1.08481
1.0848,1.08543,1.08292,1.08409
1.08408,1.08798,1.08332,1.0878
1.0878,1.08949,1.08184,1.08212
1.08212,1.08228,1.08105,1.08165
1.08167,1.08231,1.08143,1.08206
1.08205,1.08209,1.0804,1.08083
1.08081,1.08193,1.07945,1.08092
1.08091,1.08119,1.07735,1.07876
1.07876,1.08153,1.078,1.07817
1.07819,1.08039,1.0779,1.08029
1.08033,1.08071,1.07986,1.08044
1.08048,1.08061,1.07976,1.08046
1.08046,1.08183,1.07919,1.08104
1.08102,1.08388,1.07876,1.08287
1.08287,1.08502,1.08026,1.08058
1.08061,1.08198,1.08037,1.08175
1.08094,1.08225,1.08039,1.0816
1.0816,1.08261,1.08134,1.08196
1.08196,1.08277,1.08011,1.08086
1.08085,1.08431,1.07987,1.08369
1.08371,1.09202,1.08359,1.09095
1.09095,1.09274,1.09054,1.09124
1.09161,1.09243,1.0911,1.09195
1.09196,1.09206,1.09028,1.09101
1.09101,1.0954,1.0908,1.0952
1.09515,1.09766,1.09424,1.0951
1.09512,1.09512,1.09246,1.09296
1.09298,1.09544,1.09187,1.09223
1.09233,1.09399,1.09188,1.09386
1.09385,1.09474,1.09363,1.09415
1.09415,1.09605,1.09381,1.09425
1.09427,1.09672,1.09384,1.09657
1.09658,1.09996,1.09626,1.09762
1.09764,1.09928,1.09737,1.09783
1.09768,1.09825,1.09687,1.09692
1.09691,1.09695,1.09571,1.09613
1.09612,1.09793,1.09526,1.09727
1.09729,1.1009,1.09609,1.0996
1.09958,1.09958,1.09373,1.09551
1.09553,1.09689,1.0942,1.09476
1.09495,1.0954,1.09454,1.09482
1.09482,1.09519,1.09273,1.09298
1.09296,1.09323,1.08953,1.08988
1.08987,1.09125,1.08863,1.08976
1.08975,1.0904,1.08847,1.08874
1.08874,1.09052,1.08871,1.08987
1.08948,1.0908,1.08928,1.09011
1.09012,1.09019,1.08865,1.08899
1.08901,1.08926,1.08695,1.08885
1.08885,1.09142,1.08877,1.09043
1.09042,1.09102,1.0889,1.08929
1.0893,1.08991,1.08916,1.0894
1.0894,1.09098,1.08904,1.09094
1.09097,1.09221,1.09077,1.09194
1.09192,1.09599,1.09148,1.09578
1.09576,1.09805,1.09521,1.0971
